เนเธเธ•เน,เธเธทเนเธญเธญเธธเธเธเธฃเธ“เน,เธเธณเธฅเธฑเธเธเธฒเธฃเธเธฅเธดเธ• (kW),เธฃเธงเธกเธเธฒเธฃเธเธฅเธดเธ• (kWh),เธงเธฑเธเธ—เธตเน 1,เธงเธฑเธเธ—เธตเน 2,เธงเธฑเธเธ—เธตเน 3,เธงเธฑเธเธ—เธตเน 4,เธงเธฑเธเธ—เธตเน 5,เธงเธฑเธเธ—เธตเน 6,เธงเธฑเธเธ—เธตเน 7,เธงเธฑเธเธ—เธตเน 8,เธงเธฑเธเธ—เธตเน 9,เธงเธฑเธเธ—เธตเน 10,เธงเธฑเธเธ—เธตเน 11,เธงเธฑเธเธ—เธตเน 12,เธงเธฑเธเธ—เธตเน 13,เธงเธฑเธเธ—เธตเน 14,เธงเธฑเธเธ—เธตเน 15,เธงเธฑเธเธ—เธตเน 16,เธงเธฑเธเธ—เธตเน 17,เธงเธฑเธเธ—เธตเน 18,เธงเธฑเธเธ—เธตเน 19,เธงเธฑเธเธ—เธตเน 20,เธงเธฑเธเธ—เธตเน 21,เธงเธฑเธเธ—เธตเน 22,เธงเธฑเธเธ—เธตเน 23,เธงเธฑเธเธ—เธตเน 24,เธงเธฑเธเธ—เธตเน 25,เธงเธฑเธเธ—เธตเน 26,เธงเธฑเธเธ—เธตเน 27,เธงเธฑเธเธ—เธตเน 28,เธงเธฑเธเธ—เธตเน 29,เธงเธฑเธเธ—เธตเน 30,เธงเธฑเธเธ—เธตเน 31
"CY phase 4","CY_lllI_100KTL-NO-07",,9876.46,429.62,421.50,313.77,284.20,264.61,308.98,358.80,259.87,349.68,372.63,270.21,326.97,416.56,376.03,454.71,420.49,405.83,556.51,367.44,477.14,418.40,415.88,464.21,399.78,365.44,314.20,63.00,,,,
"CY phase 4","CY_lllI_100KTL-NO-08",,9772.08,425.19,416.86,309.38,281.47,261.59,305.31,355.17,256.34,345.88,369.59,266.69,324.08,411.62,371.45,449.92,415.79,403.11,550.82,363.75,472.75,413.25,411.19,459.56,397.44,362.38,309.52,61.98,,,,
"CY phase 4","CY_lllI_100KTL-NO-10",,9830.88,427.74,420.69,312.58,282.57,262.88,307.22,357.36,257.35,347.30,371.69,267.72,325.25,414.56,373.78,453.62,419.30,404.92,554.87,365.90,475.31,417.21,413.89,460.59,397.65,363.59,313.10,62.24,,,,
"CY phase 4","CY_lllI_100KTL-NO-12",,9824.00,426.91,419.31,311.33,283.76,263.50,308.14,357.30,257.98,347.86,371.44,268.21,325.96,413.87,374.83,452.63,417.38,404.56,551.99,364.56,474.91,414.47,413.42,460.53,399.46,365.97,311.14,62.58,,,,
"CY phase 4","CY_lllI_100KTL-NO-05",,9560.79,407.97,402.29,310.59,277.24,265.30,309.26,336.51,251.15,343.68,356.19,268.89,310.26,406.80,366.77,438.09,403.19,395.74,522.27,354.45,458.40,401.37,400.84,451.73,399.81,355.68,303.71,62.61,,,,
"CY phase 4","CY_lllI_100KTL-NO-04",,9538.11,409.05,401.89,310.35,276.48,264.30,307.54,337.32,248.76,343.12,355.01,268.42,309.46,406.12,365.70,436.77,404.56,393.30,520.62,354.54,457.25,399.75,399.57,450.54,399.05,352.12,304.43,62.09,,,,
"CY phase 4","CY_lllI_100KTL-NO-06",,8765.76,375.77,370.65,280.18,251.69,237.54,276.80,305.10,224.13,311.28,320.76,242.65,288.70,378.45,334.14,398.77,376.80,363.60,484.26,335.81,430.46,367.08,361.13,415.37,371.08,326.19,281.48,55.89,,,,
"CY phase 4","CY_lllI_100KTL-NO-01",,9550.28,409.02,403.13,311.14,276.70,264.99,308.60,337.75,249.34,344.06,355.81,269.06,310.44,406.04,366.03,437.42,404.12,394.48,520.89,354.46,457.35,400.14,399.80,450.02,400.12,352.68,304.35,62.34,,,,
"CY phase 4","CY_lllI_100KTL-NO-03",,9527.20,408.03,401.54,310.06,276.71,265.14,307.98,336.85,249.73,342.75,355.39,268.51,309.77,404.72,365.08,435.35,402.12,392.85,519.93,353.30,456.43,399.13,398.41,448.68,399.22,354.49,302.65,62.38,,,,
"CY phase 4","CY_lllI_100KTL-NO-02",,9588.04,410.23,403.92,312.77,278.44,266.95,310.45,339.50,252.11,345.71,357.48,270.94,311.66,406.47,367.54,437.89,405.03,395.38,522.50,355.06,458.35,402.22,402.36,451.50,400.81,354.49,305.29,62.99,,,,
"CY phase 4","CY_lllI_100KTL-NO-11",,8961.04,385.74,381.81,278.46,255.89,234.59,273.82,319.75,229.47,314.10,333.06,239.99,301.36,386.04,340.73,411.80,385.91,372.86,511.02,344.71,445.54,376.60,370.81,423.60,369.50,334.24,283.84,55.80,,,,
"LUANGSIRI RUBBER Phase 2","LUANG_100KTL_NO_08",,4123.32,261.64,310.65,59.81,216.31,294.00,111.65,133.34,368.10,345.40,0.00,22.68,0.00,0.00,119.71,0.00,0.00,275.81,0.00,6.78,0.00,19.37,409.81,254.71,335.03,201.72,329.80,47.00,,,,
"LUANGSIRI RUBBER Phase 2","LUANG_100KTL_NO_06",,6657.12,416.97,479.43,90.52,339.65,463.09,186.42,218.61,556.43,487.88,0.00,34.29,0.00,0.00,227.59,0.00,0.00,533.32,0.00,7.79,0.00,21.34,666.65,457.81,537.18,344.30,514.66,73.19,,,,
"LUANGSIRI RUBBER Phase 2","LUANG_100KTL_NO_07",,6578.07,409.44,479.18,90.49,339.39,461.19,181.81,217.41,573.10,524.21,0.00,36.72,0.00,0.00,210.92,0.00,0.00,478.93,0.00,9.65,0.00,26.94,681.38,430.20,525.42,318.26,510.57,72.86,,,,
"Crinic korat","HV2040059482",,2362.34,83.82,90.02,89.88,71.88,88.43,45.35,72.26,85.03,76.70,74.99,75.89,107.68,89.95,74.97,106.20,100.06,77.97,113.59,120.60,122.54,86.06,86.09,97.18,108.34,93.50,110.94,12.42,,,,
"KKF BWC V2","BWC_60KTL-NO-04 V.2",,4857.08,,,,,,,,166.66,238.59,205.55,206.93,163.40,253.71,259.03,292.12,257.76,259.34,353.51,273.35,344.21,262.80,231.78,305.00,256.67,241.98,253.10,31.59,,,,
"KKF BWC V2","BWC_60KTL-NO-02 V.2",,4985.55,,,,,,,,169.28,238.46,207.70,212.46,158.78,275.19,251.53,282.95,262.16,254.73,345.21,312.41,359.66,263.14,224.87,315.74,288.15,256.43,265.31,41.39,,,,
"KKF BWC V2","BWC_60KTL-NO-10 V.2",,4725.24,,,,,,,,159.68,229.63,196.68,200.79,157.52,252.98,244.45,274.99,248.50,245.98,334.33,287.00,338.20,251.55,219.62,299.23,260.14,236.53,252.56,34.88,,,,
"KKF BWC V2","BWC_60KTL-NO-08 V.2",,4852.21,,,,,,,,165.54,232.99,200.96,208.71,154.20,271.80,243.31,272.37,256.55,245.67,329.62,309.04,350.25,252.20,216.56,307.52,282.43,248.58,262.15,41.76,,,,
"KKF BWC V2","BWC_60KTL-NO-01 V.2",,5003.86,,,,,,,,169.51,239.66,208.10,213.66,158.72,276.85,252.98,284.32,263.89,256.22,345.07,313.54,360.37,262.83,225.29,317.05,289.34,258.59,266.18,41.69,,,,
"KKF BWC V2","BWC_60KTL-NO-11 V.2",,3744.52,,,,,,,,126.92,186.41,154.97,159.61,143.60,193.63,199.53,223.29,200.26,200.76,273.12,215.82,262.52,196.46,179.50,231.57,191.74,179.41,207.06,18.34,,,,
"KKF BWC V2","BWC_60KTL-NO-05 V.2",,3544.68,,,,,,,,117.49,169.25,144.24,148.82,129.28,199.85,175.35,197.02,184.51,178.50,238.45,231.00,253.95,182.83,156.30,223.33,202.04,178.70,205.00,28.77,,,,
"KKF BWC V2","BWC_60KTL-NO-12 V.2",,4643.76,,,,,,,,160.32,231.66,196.52,200.45,161.66,238.09,250.79,281.43,249.38,250.91,338.95,259.32,325.06,248.61,225.41,289.31,242.34,227.58,240.71,25.26,,,,
"KKF BWC V2","BWC_60KTL-NO-06 V.2",,4924.00,,,,,,,,167.07,235.58,204.77,210.20,157.25,271.79,248.30,278.87,259.00,251.46,339.00,307.70,355.45,260.41,222.09,312.27,285.43,253.05,263.61,40.70,,,,
"KKF BWC V2","BWC_60KTL-NO-09 V.2",,4769.68,,,,,,,,162.33,228.11,197.57,203.88,152.62,266.87,237.35,266.43,250.49,240.37,326.74,304.64,345.24,249.09,212.40,302.36,277.66,245.60,258.95,40.98,,,,
"KKF BWC V2","BWC_60KTL-NO-13 V.2",,4675.29,,,,,,,,161.45,232.56,197.78,201.05,162.29,239.70,252.15,282.70,250.87,251.88,343.08,262.32,327.09,251.48,228.27,292.03,240.87,230.48,241.75,25.49,,,,
"KKF BWC V2","BWC_60KTL-NO-07 V.2",,4822.88,,,,,,,,164.49,232.06,199.08,207.54,152.53,272.30,241.69,271.59,256.31,244.42,326.18,309.22,347.15,246.24,213.65,306.71,281.75,246.86,261.37,41.74,,,,
"KKF BWC V2","BWC_60KTL-NO-03 V.2",,4815.84,,,,,,,,164.07,236.52,202.84,205.03,161.84,252.05,257.41,289.92,255.40,257.49,350.47,272.64,341.36,259.64,228.96,303.10,254.44,239.88,251.51,31.27,,,,
"PHATHANA SEAFOODS","PTNSFInverter3",,3017.78,142.47,142.33,100.39,90.16,73.38,119.53,115.25,144.39,96.61,127.01,109.33,67.51,101.19,132.97,114.24,112.51,113.15,156.23,83.57,166.80,129.50,100.93,87.51,147.74,135.49,93.36,14.23,,,,
"PHATHANA SEAFOODS","PTNSFInverter2",,5927.48,279.64,295.18,210.26,180.01,126.03,234.93,228.90,283.85,192.18,250.44,216.60,124.83,201.25,263.42,226.58,221.50,224.27,309.12,142.61,324.57,256.06,201.14,173.70,295.88,270.49,165.55,28.49,,,,
"PHATHANA SEAFOODS","PTNSFInverter1",,19549.00,918.32,831.82,633.54,587.46,383.36,736.26,785.05,912.94,651.61,828.43,715.71,400.55,674.18,883.03,790.11,745.98,722.36,1029.22,449.84,1112.22,845.55,674.04,619.67,1034.87,933.78,509.90,139.20,,,,
"YPB  Khonkaen 2","YPB2_10KTL_NO_01",,1044.52,29.73,29.50,28.45,30.04,26.01,32.34,31.72,25.78,39.64,33.79,30.34,37.25,42.51,36.76,46.20,48.29,43.80,60.26,56.02,62.04,44.23,35.79,52.52,51.04,41.35,44.72,4.40,,,,
"Rc Farm 2","RC_F_2_100KTL P1",,7706.60,309.10,309.09,192.49,123.18,365.41,356.25,237.83,387.08,358.39,331.58,333.57,106.35,237.40,203.33,234.31,343.81,349.56,366.96,348.97,385.37,376.13,396.33,304.29,230.19,260.56,233.83,25.24,,,,
"PTT 7-11 E1","HV2230082213",,2338.78,89.69,117.12,80.29,62.37,63.02,89.60,48.56,58.07,86.84,75.72,51.28,81.45,80.82,99.52,107.60,105.02,95.82,118.58,118.14,109.25,93.78,98.60,112.14,94.96,103.98,82.80,13.76,,,,
"อาคารชลประทีปสินทรัพย์(office CCP)","ES21B0047811",,9967.66,394.26,486.63,200.51,235.64,155.08,384.35,409.14,487.11,423.03,455.53,432.71,157.19,418.17,472.21,434.73,405.03,379.38,474.65,192.79,514.54,491.36,429.61,376.25,494.42,475.14,141.13,47.07,,,,
"NR Phase 3","NR_lll_100KTL_NO_01",,9731.78,334.68,402.15,341.89,260.24,261.93,323.16,358.86,303.72,400.90,334.37,325.48,372.53,461.92,313.03,446.29,459.26,335.90,540.16,494.32,566.78,315.35,172.26,412.07,447.31,363.27,323.54,60.41,,,,
"NR Phase 3","NR_lll_100KTL_NO_02",,9711.47,333.21,402.38,341.64,261.89,263.59,322.88,359.31,306.34,401.21,337.34,329.43,371.47,459.56,316.56,443.91,456.70,336.53,533.45,489.32,559.72,313.34,175.20,409.76,442.15,360.42,323.67,60.49,,,,
"NR Phase 3","NR_lll_100KTL_NO_03",,9677.24,333.31,400.55,337.63,258.99,261.60,321.07,357.93,303.39,398.39,335.06,325.28,373.20,453.76,313.29,443.24,454.32,334.80,536.58,487.83,559.63,313.08,173.16,411.19,444.67,361.12,323.88,60.29,,,,
"AMW","AMW_36KTL_02",,4848.83,151.81,190.07,132.24,130.53,125.78,155.57,140.37,129.91,191.45,155.55,173.71,184.78,191.92,186.76,223.31,196.02,185.17,265.57,243.76,272.39,195.48,173.53,233.48,231.98,178.30,183.19,26.20,,,,
"AMW","AMW_33KTL_05",,3185.50,97.56,128.34,88.44,84.60,81.62,101.88,91.58,85.32,125.02,101.54,115.40,119.60,129.10,121.86,145.10,127.22,120.34,173.84,162.42,180.08,127.94,112.50,154.16,154.44,116.50,120.00,19.10,,,,
"AMW","AMW_36KTL_04",,4831.24,155.07,200.55,139.76,134.13,129.06,161.28,143.97,134.47,197.06,160.97,181.41,188.68,201.38,193.10,229.77,200.66,190.64,275.43,125.30,210.19,203.34,178.81,243.96,245.79,184.72,191.37,30.37,,,,
"AMW","AMW_33KTL_06",,3226.66,98.52,130.44,88.96,85.46,82.30,102.94,92.18,86.04,126.60,102.48,116.74,121.76,130.92,123.74,147.76,129.04,121.80,176.08,164.98,182.28,129.54,114.04,156.84,157.20,116.82,121.88,19.32,,,,
"AMW","AMW_36KTL_03",,4880.25,152.53,188.82,133.69,131.74,126.80,156.38,141.59,130.83,192.35,156.46,175.54,186.91,192.49,187.70,224.46,195.74,186.70,266.28,244.97,272.51,197.49,175.01,236.91,233.52,179.15,186.09,27.59,,,,
"AMW","AMW_36KTL_01",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"Brose Project Solar Rooftop 249.60kWp","BsInverter(COM1-2)",,5114.91,171.26,273.67,124.55,57.21,66.85,206.50,269.45,296.94,189.66,259.83,66.13,61.48,196.90,251.38,260.31,236.51,208.29,208.95,67.65,312.44,289.11,290.70,215.86,256.38,189.48,66.52,20.90,,,,
"Brose Project Solar Rooftop 249.60kWp","BSInverter(COM1-1)",,15306.77,520.27,824.20,376.51,175.26,201.93,625.21,814.57,733.15,575.56,788.30,199.86,185.61,592.70,761.63,784.52,712.16,632.08,633.21,204.86,950.60,877.44,878.70,650.39,772.58,571.53,200.14,63.80,,,,
"PYK. TOOL AND DIE 113.60 kWp","Inverter(COM3-1)",,7755.73,384.00,411.50,356.72,307.47,5.98,302.90,381.91,425.33,334.52,356.46,324.41,10.96,326.04,400.01,384.95,372.81,367.16,385.72,6.69,427.13,369.39,300.09,145.72,374.63,199.03,32.74,61.46,,,,
"KANTANG 2","KT2_100KTL-M2-COM1-1",,4745.84,63.83,74.06,185.33,235.44,225.87,229.79,224.57,244.35,157.25,230.14,237.82,212.52,97.03,166.53,54.45,123.89,217.58,186.63,203.74,231.68,237.24,219.93,238.38,105.92,139.32,170.80,31.75,,,,
"KANTANG 2","KT2_100KTL-M2-COM1-2",,4669.35,63.58,73.24,183.12,232.04,222.59,223.28,221.23,240.00,156.79,225.41,236.74,206.98,94.27,162.02,51.97,120.87,215.57,185.00,200.46,229.60,234.05,220.27,236.06,102.12,135.19,166.23,30.67,,,,
"KANTANG 2","KT2_100KTL-M2-COM1-3",,7778.37,106.32,120.62,297.69,371.04,361.62,367.60,359.91,389.51,252.42,372.91,385.26,345.59,162.63,275.26,92.81,209.43,364.22,317.84,342.25,387.03,393.79,372.46,386.41,183.75,237.73,267.15,55.12,,,,
"KANTANG 2","KT2_100KTL-M2-COM1-4",,1430.50,6.53,7.89,20.72,24.46,24.87,25.28,23.96,24.93,16.30,25.32,26.02,21.66,10.77,19.48,5.47,13.99,25.13,21.32,23.37,26.25,25.62,23.85,130.03,214.01,266.61,316.11,60.55,,,,
"KANTANG 2","KT2_100KTL-M2-COM1-5",,1069.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.40,242.27,292.73,349.03,56.11,,,,
"คลัง KKF","KKF-1-100KTL_NO_07",,7985.36,292.11,320.75,252.74,255.32,99.43,303.65,268.38,253.89,361.83,302.95,320.46,93.36,356.60,349.48,401.83,356.89,352.68,464.20,100.30,487.01,377.22,335.49,415.88,413.15,311.18,87.86,50.72,,,,
"YPB Chum Phae","YPB_CP_60KTL_NO_01",,3248.09,122.82,161.11,150.42,115.35,5.57,146.71,142.62,119.89,136.70,144.38,121.26,6.30,157.75,156.57,156.14,163.48,135.59,175.45,10.01,202.70,85.72,101.38,162.25,166.55,143.01,28.46,29.90,,,,
"CY Phase 3","CY_lll_100KTL-NO-03",,12297.43,493.97,491.75,360.79,336.52,300.64,352.10,398.89,284.07,401.36,412.86,328.79,430.28,558.60,451.97,483.16,554.77,543.36,678.23,637.35,676.47,517.83,463.29,581.32,572.83,458.92,456.71,70.60,,,,
"CY Phase 3","CY_lll_100KTL-NO-01",,12857.25,520.80,516.72,367.64,350.22,302.06,356.93,423.74,295.68,413.83,437.12,333.32,462.16,577.47,472.07,505.20,585.00,565.84,728.97,672.18,715.11,545.65,485.00,609.77,583.52,483.72,475.61,71.92,,,,
"CY Phase 3","CY_lll_100KTL-NO-04",,12982.35,525.92,530.50,368.08,352.13,301.70,358.58,427.20,295.34,419.08,439.20,333.00,464.22,593.36,478.00,511.77,590.40,570.40,736.50,678.45,721.68,549.67,488.14,615.86,590.52,490.91,480.39,71.35,,,,
"CY Phase 3","CY_lll_100KTL-NO-02",,12681.89,516.35,515.53,363.23,346.61,298.28,351.83,419.23,292.68,409.67,431.58,328.61,452.05,571.67,465.71,499.52,576.10,555.61,719.39,661.94,703.28,539.35,479.29,596.32,574.56,473.58,469.04,70.88,,,,
"CY Phase 3","CY_lll_60KTL-NO-05",,4878.63,197.00,203.51,139.59,131.52,114.79,135.20,158.02,111.52,159.76,163.42,127.99,170.71,227.57,178.35,193.73,220.36,216.10,272.12,252.41,268.21,206.17,181.41,232.73,224.40,182.75,182.09,27.20,,,,
"Fairy Plaza KK","FR100KTL-M2(COM14)",,11348.22,306.97,347.12,315.59,318.68,293.36,365.65,315.52,296.35,438.98,368.88,345.01,391.40,497.40,427.93,499.28,524.96,450.38,619.90,577.28,662.96,465.24,390.65,569.22,528.31,446.61,528.10,56.49,,,,
"Fairy Plaza KK","FR100KTL-M2(COM16)",,12193.29,333.54,358.79,334.07,343.33,312.63,388.13,340.87,315.17,471.65,392.87,368.52,428.46,525.61,463.31,544.68,564.59,488.01,685.92,615.67,718.09,510.41,427.27,608.56,559.79,473.42,562.31,57.62,,,,
"Fairy Plaza KK","FR100KTL-M2(COM12)",,10841.82,303.45,323.06,293.33,311.61,281.36,347.40,308.09,282.55,422.73,349.93,330.15,386.71,466.90,420.63,485.89,506.37,436.36,606.86,530.64,630.55,450.69,382.39,530.56,486.86,426.01,491.89,48.85,,,,
"Fairy Plaza KK","FR100KTL-M2(COM15)",,12441.37,342.62,377.05,348.83,350.68,321.77,403.52,347.82,325.90,481.60,407.09,378.91,431.67,542.38,468.93,550.28,570.00,493.60,680.35,630.26,719.73,516.63,429.37,621.31,574.85,493.59,570.18,62.45,,,,
"Fairy Plaza KK","FR100KTL-M2(COM13)",,10817.27,298.81,331.61,298.80,307.40,282.46,351.01,306.11,284.01,422.06,354.50,332.60,374.64,472.35,413.62,476.65,499.13,431.41,587.20,537.50,621.89,447.16,377.76,536.47,497.37,425.49,496.00,53.26,,,,
"TEM Building A","TEM1Inverter5",,10689.34,349.55,505.93,257.24,223.45,268.82,416.68,453.89,560.63,425.42,507.66,473.31,61.75,450.30,495.63,482.96,458.99,414.43,569.45,58.40,590.68,560.12,488.47,408.44,524.02,579.44,54.36,49.32,,,,
"TEM Building A","TEST Inverter",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"TEM Building A","TEM1Inverter3",,10682.59,347.53,503.73,248.19,228.15,270.13,424.93,442.17,565.78,429.04,504.96,475.61,61.89,440.63,495.88,472.30,453.28,419.98,575.51,58.83,592.49,554.42,497.86,411.00,529.20,577.84,54.66,46.60,,,,
"TEM Building A","TEM1Inverter1",,10588.87,347.56,510.20,250.89,226.17,269.76,420.15,447.04,563.64,420.65,499.39,469.69,61.86,446.42,491.91,476.19,450.44,414.78,572.88,58.65,582.58,546.62,487.61,395.04,515.31,562.18,54.49,46.77,,,,
"TEM Building A","TEM1Inverter7",,10464.32,340.73,495.04,237.42,224.70,269.05,419.04,432.48,553.60,415.34,494.32,466.78,61.67,430.02,487.36,463.70,446.24,414.66,569.09,58.39,573.66,538.74,491.38,401.30,515.98,564.62,54.27,44.74,,,,
"TEM Building A","TEM1Inverter4",,10776.57,350.44,510.65,257.16,226.32,269.54,421.08,454.99,569.36,428.65,510.31,477.28,61.89,453.60,500.83,484.84,461.81,418.44,577.75,58.40,596.18,563.51,497.18,409.30,529.73,583.96,54.37,49.00,,,,
